"Time Study from ,""2020-12-01 12:17:35"""
"Statistic values,""Lap time"",""IM"",""TMU"",""DM"",""HM"",""CYCLE"""
"Averages,""00:08,497"",""0,24"",""0,14"",""13"",""236"",""17"""
"Min values,""00:00,639"",""0,02"",""0,01"",""1"",""18"",""1"""
"Min values,""01:23,197"",""2,31"",""1,39"",""138"",""2311"",""94"""
"Lap No,""Time"",""Total time"",""Seconds consecutive"",""Lap time"",""IMa"",""TMU"",""DMa"",""HM"",""CYCLE"",""LONG_LAP_UPDATED_TIME (can be deleted by user)"",""LONG_UPDATED_TIME (can be deleted by user)"""
"85,""11:57:53"",""10:20,639"",""620"",""00:02,722"",""0,075611"",""75,611115"",""0,045367"",""4"",""22,042618"",""2722"",""620639"""
"86,""11:57:57"",""10:24,286"",""624"",""00:03,647"",""0,101306"",""101,305557"",""0,060783"",""6"",""16,451878"",""3647"",""624286"""
"87,""11:58:01"",""10:28,309"",""628"",""00:04,023"",""0,111750"",""111,750000"",""0,067050"",""6"",""14,914245"",""4023"",""628309"""
"88,""11:58:06"",""10:33,210"",""633"",""00:04,901"",""0,136139"",""136,138885"",""0,081683"",""8"",""12,242400"",""4901"",""633210"""
"89,""11:58:11"",""10:37,969"",""637"",""00:04,759"",""0,132194"",""132,194443"",""0,079317"",""7"",""12,607692"",""4759"",""637969"""
"90,""11:58:27"",""10:54,112"",""654"",""00:16,143"",""0,448417"",""448,416656"",""0,269050"",""26"",""3,716781"",""16143"",""654112"""
"91,""11:58:30"",""10:56,768"",""656"",""00:02,656"",""0,073778"",""73,777779"",""0,044267"",""4"",""22,590363"",""2656"",""656768"""
"92,""11:58:32"",""10:59,653"",""659"",""00:02,885"",""0,080139"",""80,138885"",""0,048083"",""4"",""20,797228"",""2885"",""659653"""
"93,""11:58:33"",""11:00,292"",""660"",""00:00,639"",""0,017750"",""17,750000"",""0,010650"",""1"",""93,896721"",""639"",""660292"""
"94,""11:58:36"",""11:03,270"",""663"",""00:02,978"",""0,082722"",""82,722221"",""0,049633"",""4"",""20,147751"",""2978"",""663270"""
